Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
53276,9870921,HX520945,11/26/2014 08:00:00 AM,084XX S VINCENNES AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),False,True,622,6.0,21.0,71.0,04A,1173773.0,1848854.0,2014,02/10/2018 03:50:01 PM,41.740664662,-87.638892065,"(41.740664662, -87.638892065)"
53277,4788892,HM401817,06/07/2006 01:30:00 PM,001XX N STATE ST,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,OTHER,False,False,122,1.0,42.0,32.0,11,1176338.0,1901346.0,2006,02/28/2018 03:56:25 PM,41.884650262,-87.627915459,"(41.884650262, -87.627915459)"
53278,9758373,HX408040,08/30/2014 01:00:00 AM,060XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,False,False,235,2.0,20.0,42.0,14,1182604.0,1865128.0,2014,02/10/2018 03:50:01 PM,41.785122047,-87.60603224,"(41.785122047, -87.60603224)"
53279,1617455,G388289,07/03/2001 06:33:19 PM,013XX S CANAL ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,131,1.0,,,08B,1173296.0,1893985.0,2001,08/17/2015 03:03:40 PM,41.864519262,-87.639304571,"(41.864519262, -87.639304571)"
53280,11750174,JC339603,07/08/2019 09:39:00 AM,006XX W ARMITAGE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,False,1813,18.0,43.0,7.0,26,1171490.0,1913543.0,2019,07/19/2019 04:09:50 PM,41.918227506,-87.645358659,"(41.918227506, -87.645358659)"
53281,1961928,HH154525,01/28/2002 09:00:00 PM,025XX W VAN BUREN ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,1125,11.0,,,08A,1159624.0,1898084.0,2002,02/28/2018 03:56:25 PM,41.876059649,-87.68938138,"(41.876059649, -87.68938138)"
53282,10396722,HZ125095,01/22/2016 02:00:00 PM,0000X W TERMINAL ST,0820,THEFT,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,False,False,1651,16.0,41.0,76.0,06,1100317.0,1935229.0,2016,02/10/2018 03:50:01 PM,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
53283,5609323,HN416535,06/19/2007 10:15:00 PM,071XX S MICHIGAN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,323,3.0,6.0,69.0,05,1178398.0,1857778.0,2007,02/10/2018 03:50:01 PM,41.765049477,-87.621676149,"(41.765049477, -87.621676149)"
53284,9633921,HX285109,06/01/2014 10:00:00 AM,052XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,225,2.0,3.0,40.0,08B,1178048.0,1870225.0,2014,02/10/2018 03:50:01 PM,41.799213245,-87.622581891,"(41.799213245, -87.622581891)"
53285,7124038,HR529984,09/10/2009 03:25:00 PM,032XX W LE MOYNE ST,0460,BATTERY,SIMPLE,STREET,True,False,1422,14.0,26.0,23.0,08B,1154421.0,1909785.0,2009,02/28/2018 03:56:25 PM,41.908273851,-87.708172026,"(41.908273851, -87.708172026)"
